TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-'
DAL,DAL vs. LAC,08/06/2020,L,240,111,39,87,44.8,17,48,35.4,16,21,76.2,8,29,37,24,3,4,8,17,-15
WAS,WAS @ NOP,08/07/2020,L,240,107,38,90,42.2,10,27,37,21,23,91.3,10,30,40,22,9,4,16,27,-11
UTA,UTA @ SAS,08/07/2020,L,240,111,38,91,41.8,16,37,43.2,19,24,79.2,10,39,49,25,8,4,16,19,-8
TOR,TOR vs. BOS,08/07/2020,L,240,100,38,89,42.7,10,38,26.3,14,17,82.4,9,39,48,20,8,7,18,18,-22
SAS,SAS vs. UTA,08/07/2020,W,240,119,45,89,50.6,9,22,40.9,20,26,76.9,8,39,47,27,10,5,13,18,8
SAC,SAC @ BKN,08/07/2020,L,240,106,38,89,42.7,12,40,30,18,24,75,13,37,50,19,3,4,15,26,-13
PHI,PHI vs. ORL,08/07/2020,W,240,108,38,93,40.9,8,29,27.6,24,33,72.7,15,36,51,19,4,4,9,20,7
ORL,ORL @ PHI,08/07/2020,L,240,101,37,88,42,8,32,25,19,25,76,10,37,47,17,5,2,11,24,-7
OKC,OKC @ MEM,08/07/2020,L,240,92,34,97,35.1,13,43,30.2,11,15,73.3,12,24,36,19,12,2,10,20,-29
NOP,NOP vs. WAS,08/07/2020,W,240,118,42,88,47.7,12,35,34.3,22,26,84.6,11,34,45,25,7,8,20,19,11
MEM,MEM vs. OKC,08/07/2020,W,240,121,46,83,55.4,11,31,35.5,18,20,90,12,46,58,24,6,4,20,19,29
BKN,BKN vs. SAC,08/07/2020,W,240,119,42,86,48.8,17,40,42.5,18,28,64.3,7,37,44,30,9,3,11,23,13
BOS,BOS @ TOR,08/07/2020,W,240,122,47,96,49,16,46,34.8,12,16,75,9,43,52,27,8,2,15,22,22
UTA,UTA @ DEN,08/08/2020,L,290,132,47,105,44.8,22,55,40,16,22,72.7,15,36,51,34,6,4,23,30,-2
POR,POR vs. LAC,08/08/2020,L,240,117,44,90,48.9,17,43,39.5,12,17,70.6,9,32,41,24,5,2,11,26,-5
PHX,PHX @ MIA,08/08/2020,W,240,119,44,92,47.8,12,32,37.5,19,20,95,12,40,52,27,5,4,11,21,7
MIL,MIL @ DAL,08/08/2020,L,265,132,47,99,47.5,15,44,34.1,23,34,67.6,9,46,55,26,3,9,13,26,-4
MIA,MIA vs. PHX,08/08/2020,L,240,112,41,84,48.8,11,36,30.6,19,22,86.4,3,34,37,28,6,9,12,21,-7
LAL,LAL @ IND,08/08/2020,L,240,111,42,100,42,13,39,33.3,14,19,73.7,15,29,44,20,13,6,15,16,-5
LAC,LAC @ POR,08/08/2020,W,240,122,42,85,49.4,15,34,44.1,23,28,82.1,9,36,45,24,5,2,14,22,5
IND,IND vs. LAL,08/08/2020,W,240,116,44,84,52.4,15,33,45.5,13,14,92.9,7,35,42,25,12,4,20,21,5
